project,phase,k_smell_types,count,status
69_lhamacaw,after,2,200,ok
69_lhamacaw,after,3,156,ok
69_lhamacaw,after,4,56,ok
69_lhamacaw,after,5,2,ok
70_echodep,before,1,138,ok
70_echodep,before,2,45,ok
70_echodep,before,3,20,ok
70_echodep,before,4,7,ok
70_echodep,before,5,1,ok
70_echodep,after,1,112,ok
70_echodep,after,2,35,ok
70_echodep,after,3,17,ok
70_echodep,after,4,2,ok
71_ext4j,before,1,70,ok
71_ext4j,before,2,91,ok
71_ext4j,before,3,12,ok
71_ext4j,before,4,1,ok
71_ext4j,after,1,58,ok
71_ext4j,after,2,39,ok
71_ext4j,after,3,32,ok
71_ext4j,after,4,2,ok
72_battlecry,before,1,30,ok
72_battlecry,before,2,33,ok
72_battlecry,before,3,11,ok
72_battlecry,before,4,13,ok
72_battlecry,after,1,31,ok
72_battlecry,after,2,20,ok
72_battlecry,after,3,10,ok
72_battlecry,after,4,12,ok
73_fim1,before,1,63,ok
73_fim1,before,2,127,ok
73_fim1,before,3,28,ok
73_fim1,before,4,7,ok
73_fim1,before,5,1,ok
73_fim1,after,1,85,ok
73_fim1,after,2,51,ok
73_fim1,after,3,51,ok
73_fim1,after,4,10,ok
73_fim1,after,5,1,ok
74_fixsuite,before,1,40,ok
74_fixsuite,before,2,67,ok
74_fixsuite,before,3,22,ok
74_fixsuite,before,4,5,ok
74_fixsuite,after,1,41,ok
74_fixsuite,after,2,32,ok
74_fixsuite,after,3,42,ok
74_fixsuite,after,4,9,ok
75_openhre,before,1,286,ok
75_openhre,before,2,349,ok
75_openhre,before,3,115,ok
75_openhre,before,4,13,ok
75_openhre,after,1,222,ok
75_openhre,after,2,261,ok
75_openhre,after,3,138,ok
75_openhre,after,4,11,ok
75_openhre,after,5,2,ok
76_dash-framework,before,1,15,ok
76_dash-framework,before,2,1,ok
76_dash-framework,before,3,1,ok
76_dash-framework,after,1,10,ok
76_dash-framework,after,2,4,ok
77_io-project,before,1,29,ok
77_io-project,before,2,18,ok
77_io-project,before,3,8,ok
77_io-project,after,1,27,ok
77_io-project,after,2,8,ok
77_io-project,after,3,5,ok
79_twfbplayer,before,1,210,ok
79_twfbplayer,before,2,182,ok
79_twfbplayer,before,3,64,ok
79_twfbplayer,before,4,21,ok
79_twfbplayer,after,1,211,ok
79_twfbplayer,after,2,142,ok
79_twfbplayer,after,3,49,ok
79_twfbplayer,after,4,19,ok
81_javathena,before,1,98,ok
81_javathena,before,2,642,ok
81_javathena,before,3,85,ok
81_javathena,before,4,21,ok
81_javathena,before,5,2,ok
81_javathena,after,1,195,ok
81_javathena,after,2,392,ok
81_javathena,after,3,188,ok
81_javathena,after,4,21,ok
81_javathena,after,5,1,ok
82_ipcalculator,before,1,13,ok
82_ipcalculator,before,2,2,ok
82_ipcalculator,after,1,9,ok
82_ipcalculator,after,2,2,ok
83_xbus,before,1,309,ok
83_xbus,before,2,207,ok
83_xbus,before,3,46,ok
83_xbus,after,1,222,ok
83_xbus,after,2,212,ok
83_xbus,after,3,38,ok
83_xbus,after,4,8,ok
83_xbus,after,5,1,ok
85_shop,before,1,153,ok
85_shop,before,2,106,ok
85_shop,before,3,21,ok
85_shop,before,4,4,ok
85_shop,before,5,3,ok
85_shop,after,1,145,ok
85_shop,after,2,48,ok
85_shop,after,3,13,ok
85_shop,after,4,3,ok
85_shop,after,5,3,ok
86_at-robots2-j,before,1,318,ok
86_at-robots2-j,before,2,260,ok
86_at-robots2-j,before,3,122,ok
86_at-robots2-j,before,4,33,ok
86_at-robots2-j,after,1,239,ok
86_at-robots2-j,after,2,207,ok
86_at-robots2-j,after,3,111,ok
86_at-robots2-j,after,4,11,ok
86_at-robots2-j,after,5,2,ok
87_jaw-br,before,1,43,ok
87_jaw-br,before,2,63,ok
87_jaw-br,before,3,9,ok
87_jaw-br,after,1,41,ok
87_jaw-br,after,2,32,ok
87_jaw-br,after,3,17,ok
87_jaw-br,after,4,1,ok
88_jopenchart,before,1,107,ok
88_jopenchart,before,2,120,ok
88_jopenchart,before,3,48,ok
88_jopenchart,before,4,9,ok
88_jopenchart,after,1,84,ok
88_jopenchart,after,2,128,ok
88_jopenchart,after,3,44,ok
88_jopenchart,after,4,2,ok
89_jiggler,before,1,346,ok
89_jiggler,before,2,346,ok
89_jiggler,before,3,148,ok
89_jiggler,before,4,52,ok
89_jiggler,before,5,31,ok
89_jiggler,before,6,2,ok
89_jiggler,after,1,400,ok
89_jiggler,after,2,218,ok
89_jiggler,after,3,79,ok
89_jiggler,after,4,43,ok
89_jiggler,after,5,1,ok
90_dcparseargs,before,1,14,ok
90_dcparseargs,before,2,19,ok
90_dcparseargs,before,3,4,ok
90_dcparseargs,after,1,16,ok
90_dcparseargs,after,2,9,ok
90_dcparseargs,after,3,3,ok
91_classviewer,before,1,31,ok
91_classviewer,before,2,21,ok
91_classviewer,before,3,4,ok
91_classviewer,before,4,8,ok
91_classviewer,before,5,1,ok
91_classviewer,after,1,23,ok
