project,smell_type,count_before,count_after,delta,status
29_apbsmem,Exceptions due to null arguments,10,5,-5,ok
29_apbsmem,Multiple calls to the same void method,41,52,11,ok
29_apbsmem,Not asserted return values,64,17,-47,ok
29_apbsmem,Not asserted side effects,116,113,-3,ok
29_apbsmem,Not null assertion,2,20,18,ok
29_apbsmem,Testing only field accesors,104,86,-18,ok
29_apbsmem,Testing the same exception scenario,15,0,-15,ok
30_bpmail,Asserting Constants,1,0,-1,ok
30_bpmail,Asserting object initialization multiple times,48,61,13,ok
30_bpmail,Duplicated Setup,35,33,-2,ok
30_bpmail,Exceptions due to incomplete setup,9,0,-9,ok
30_bpmail,Exceptions due to null arguments,8,0,-8,ok
30_bpmail,Multiple calls to the same void method,5,11,6,ok
30_bpmail,Not asserted return values,11,12,1,ok
30_bpmail,Not asserted side effects,42,27,-15,ok
30_bpmail,Not null assertion,0,9,9,ok
30_bpmail,Testing only field accesors,61,55,-6,ok
30_bpmail,Testing the same exception scenario,5,0,-5,ok
31_xisemele,Asserting object initialization multiple times,55,41,-14,ok
31_xisemele,Duplicated Setup,119,108,-11,ok
31_xisemele,Exceptions due to incomplete setup,10,1,-9,ok
31_xisemele,Exceptions due to null arguments,4,6,2,ok
31_xisemele,Not asserted return values,16,30,14,ok
31_xisemele,Not asserted side effects,3,3,0,ok
31_xisemele,Not null assertion,0,3,3,ok
31_xisemele,Testing only field accesors,6,4,-2,ok
31_xisemele,Testing the same exception scenario,42,0,-42,ok
32_httpanalyzer,Asserting Constants,1,2,1,ok
32_httpanalyzer,Asserting object initialization multiple times,14,13,-1,ok
32_httpanalyzer,Exceptions due to incomplete setup,4,2,-2,ok
32_httpanalyzer,Exceptions due to null arguments,6,3,-3,ok
32_httpanalyzer,Multiple calls to the same void method,5,3,-2,ok
32_httpanalyzer,Not asserted return values,2,2,0,ok
32_httpanalyzer,Not asserted side effects,6,5,-1,ok
32_httpanalyzer,Not null assertion,0,4,4,ok
32_httpanalyzer,Testing only field accesors,5,4,-1,ok
32_httpanalyzer,Testing the same exception scenario,2,0,-2,ok
33_javaviewcontrol,Asserting Constants,0,1,1,ok
33_javaviewcontrol,Asserting object initialization multiple times,87,77,-10,ok
33_javaviewcontrol,Duplicated Setup,72,68,-4,ok
33_javaviewcontrol,Exceptions due to external dependencies,2,1,-1,ok
33_javaviewcontrol,Exceptions due to null arguments,9,2,-7,ok
