project,key,method,count_before,count_after,delta,validity_ok,success
1_tullibee,tullibee.EClientSocket,test45,2,1,-1,1,1
1_tullibee,tullibee.EClientSocket,test00,1,1,0,1,0
1_tullibee,tullibee.TickType,test49,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test31,1,1,0,1,0
1_tullibee,tullibee.Contract,test01,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test20,2,1,-1,1,1
1_tullibee,tullibee.TickType,test29,1,0,-1,1,1
1_tullibee,tullibee.Contract,test10,1,1,0,1,0
1_tullibee,tullibee.Order,test25,2,2,0,1,0
1_tullibee,tullibee.EClientErrors,test0,1,2,1,1,0
1_tullibee,tullibee.Order,test57,2,2,0,1,0
1_tullibee,tullibee.EWrapperMsgGenerator,test40,1,0,-1,1,1
1_tullibee,tullibee.Order,test61,1,1,0,1,0
1_tullibee,tullibee.EReader,test38,1,1,0,0,0
1_tullibee,tullibee.EClientSocket,test32,1,1,0,1,0
1_tullibee,tullibee.UnderComp,test2,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test12,3,5,2,1,0
1_tullibee,tullibee.EReader,test35,1,1,0,0,0
1_tullibee,tullibee.EClientSocket,test42,2,0,-2,1,1
1_tullibee,tullibee.EWrapperMsgGenerator,test01,1,0,-1,1,1
1_tullibee,tullibee.Order,test35,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test11,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test07,3,4,1,1,0
1_tullibee,tullibee.EClientSocket,test15,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test23,2,2,0,1,0
1_tullibee,tullibee.ComboLeg,test6,1,1,0,1,0
1_tullibee,tullibee.EReader,test16,2,1,-1,1,1
1_tullibee,tullibee.EReader,test52,1,2,1,0,0
1_tullibee,tullibee.TagValue,test0,1,1,0,1,0
1_tullibee,tullibee.Order,test16,2,2,0,1,0
1_tullibee,tullibee.EWrapperMsgGenerator,test05,1,0,-1,1,1
1_tullibee,tullibee.Order,test19,1,1,0,1,0
1_tullibee,tullibee.Order,test52,2,2,0,1,0
1_tullibee,tullibee.ScannerSubscription,test29,3,4,1,1,0
1_tullibee,tullibee.Order,test60,1,1,0,1,0
1_tullibee,tullibee.Order,test39,2,2,0,1,0
1_tullibee,tullibee.EReader,test12,2,2,0,1,0
1_tullibee,tullibee.EWrapperMsgGenerator,test00,1,0,-1,1,1
1_tullibee,tullibee.ExecutionFilter,test6,1,1,0,1,0
1_tullibee,tullibee.OrderState,test01,1,1,0,1,0
1_tullibee,tullibee.TickType,test37,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test13,1,0,-1,1,1
1_tullibee,tullibee.OrderState,test10,1,0,-1,1,1
1_tullibee,tullibee.Order,test40,2,2,0,1,0
1_tullibee,tullibee.EReader,test30,1,1,0,0,0
1_tullibee,tullibee.OrderState,test05,1,1,0,1,0
1_tullibee,tullibee.Order,test30,2,2,0,1,0
1_tullibee,tullibee.EReader,test01,1,1,0,0,0
1_tullibee,tullibee.Util,test07,1,0,-1,1,1
1_tullibee,tullibee.UnderComp,test4,1,1,0,1,0
1_tullibee,tullibee.Order,test01,2,2,0,0,0
1_tullibee,tullibee.EClientSocket,test26,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test24,1,0,-1,1,1
1_tullibee,tullibee.EReader,test10,1,2,1,0,0
1_tullibee,tullibee.EClientSocket,test34,1,0,-1,0,0
1_tullibee,tullibee.Order,test10,2,2,0,1,0
1_tullibee,tullibee.Order,test47,2,2,0,1,0
1_tullibee,tullibee.Contract,test08,1,1,0,1,0
1_tullibee,tullibee.EReader,test05,1,1,0,0,0
1_tullibee,tullibee.ScannerSubscription,test37,3,5,2,1,0
1_tullibee,tullibee.Order,test05,2,2,0,1,0
1_tullibee,tullibee.EReader,test51,3,2,-1,1,1
1_tullibee,tullibee.TickType,test25,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test48,1,2,1,1,0
1_tullibee,tullibee.UnderComp,test5,1,0,-1,1,1
1_tullibee,tullibee.EException,test0,2,0,-2,1,1
1_tullibee,tullibee.Order,test51,2,2,0,1,0
1_tullibee,tullibee.TickType,test38,1,0,-1,1,1
1_tullibee,tullibee.ExecutionFilter,test0,2,0,-2,1,1
1_tullibee,tullibee.OrderState,test04,1,2,1,1,0
1_tullibee,tullibee.Execution,test0,2,0,-2,1,1
1_tullibee,tullibee.Contract,test17,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test41,3,3,0,1,0
1_tullibee,tullibee.Contract,test03,3,1,-2,1,1
1_tullibee,tullibee.TickType,test35,1,1,0,1,0
1_tullibee,tullibee.Contract,test14,2,2,0,1,0
1_tullibee,tullibee.Contract,test19,1,1,0,1,0
1_tullibee,tullibee.TickType,test16,1,0,-1,1,1
1_tullibee,tullibee.Order,test04,2,2,0,1,0
1_tullibee,tullibee.TickType,test19,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test12,1,0,-1,1,1
1_tullibee,tullibee.EReader,test28,1,1,0,0,0
1_tullibee,tullibee.Contract,test18,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test25,3,4,1,1,0
1_tullibee,tullibee.EClientErrors,test3,2,1,-1,1,1
1_tullibee,tullibee.TickType,test39,1,0,-1,1,1
1_tullibee,tullibee.Order,test28,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test07,1,0,-1,1,1
1_tullibee,tullibee.Order,test15,1,1,0,1,0
1_tullibee,tullibee.Order,test23,2,2,0,1,0
1_tullibee,tullibee.EReader,test41,1,1,0,0,0
1_tullibee,tullibee.OrderState,test08,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test49,1,1,0,1,0
1_tullibee,tullibee.EReader,test22,1,1,0,0,0
1_tullibee,tullibee.ScannerSubscription,test35,3,2,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test03,3,5,2,1,0
1_tullibee,tullibee.Order,test22,2,2,0,1,0
1_tullibee,tullibee.ContractDetails,test0,1,1,0,1,0
1_tullibee,tullibee.TickType,test40,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test29,1,0,-1,1,1
1_tullibee,tullibee.OrderState,test06,1,1,0,1,0
1_tullibee,tullibee.TickType,test30,1,0,-1,1,1
1_tullibee,tullibee.TagValue,test3,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test16,3,4,1,1,0
1_tullibee,tullibee.EReader,test08,1,2,1,0,0
1_tullibee,tullibee.UnderComp,test6,2,0,-2,1,1
1_tullibee,tullibee.ScannerSubscription,test19,2,5,3,1,0
1_tullibee,tullibee.OrderState,test03,1,1,0,1,0
1_tullibee,tullibee.TickType,test01,1,1,0,1,0
1_tullibee,tullibee.EReader,test25,1,1,0,0,0
1_tullibee,tullibee.EReader,test57,3,3,0,0,0
1_tullibee,tullibee.Order,test08,2,2,0,1,0
1_tullibee,tullibee.ScannerSubscription,test39,3,5,2,1,0
1_tullibee,tullibee.TickType,test10,1,0,-1,1,1
1_tullibee,tullibee.OrderState,test02,1,1,0,1,0
1_tullibee,tullibee.Order,test13,1,1,0,1,0
1_tullibee,tullibee.TickType,test47,1,0,-1,1,1
1_tullibee,tullibee.Contract,test05,3,2,-1,1,1
1_tullibee,tullibee.TickType,test05,1,1,0,1,0
1_tullibee,tullibee.Order,test06,2,2,0,1,0
1_tullibee,tullibee.EReader,test17,3,2,-1,1,1
1_tullibee,tullibee.EReader,test03,2,1,-1,1,1
1_tullibee,tullibee.TickType,test51,2,2,0,1,0
1_tullibee,tullibee.Order,test17,1,1,0,1,0
1_tullibee,tullibee.Order,test03,2,2,0,0,0
2_a4j,a4j.FileUtil,test15,1,0,-1,1,1
2_a4j,a4j.Query,test03,2,1,-1,1,1
2_a4j,a4j.ShoppingCart,test07,3,1,-2,1,1
2_a4j,a4j.MiniProduct,test00,2,3,1,1,0
2_a4j,a4j.ListingProductDetails,test21,2,1,-1,1,1
2_a4j,a4j.SellerSearchDetails,test6,2,2,0,1,0
2_a4j,a4j.ProductDetails,test55,2,2,0,1,0
2_a4j,a4j.FullProduct,test6,2,3,1,1,0
2_a4j,a4j.Query,test02,1,1,0,1,0
2_a4j,a4j.ProductDetails,test41,2,2,0,1,0
2_a4j,a4j.FeedBack,test8,2,2,0,1,0
2_a4j,a4j.Accessories,test5,3,3,0,1,0
2_a4j,a4j.ProductDetails,test22,2,2,0,1,0
2_a4j,a4j.ShoppingCartResponse,test0,2,2,0,1,0
2_a4j,a4j.FeedBack,test3,2,3,1,1,0
2_a4j,a4j.MiniProduct,test04,2,1,-1,1,1
2_a4j,a4j.ProductInfo,test7,1,0,-1,1,1
2_a4j,a4j.Reviews,test2,2,2,0,1,0
2_a4j,a4j.SimilarProducts,test0,3,3,0,1,0
2_a4j,a4j.ShoppingCart,test20,2,1,-1,1,1
2_a4j,a4j.ProductLine,test4,2,2,0,1,0
2_a4j,a4j.ListingProductDetails,test36,2,2,0,1,0
2_a4j,a4j.Platforms,test0,2,1,-1,1,1
2_a4j,a4j.FileUtil,test08,1,1,0,1,0
2_a4j,a4j.ProductDetails,test08,2,2,0,1,0
2_a4j,a4j.Artists,test3,1,1,0,0,0
2_a4j,a4j.SimilarProducts,test7,2,1,-1,1,1
2_a4j,a4j.Item,test04,2,1,-1,1,1
2_a4j,a4j.ProductDetails,test25,3,2,-1,0,0
2_a4j,a4j.MiniProduct,test11,2,3,1,1,0
2_a4j,a4j.ProductDetails,test57,2,2,0,1,0
