project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
10_water-simulator,Asserting object initialization multiple times,81,45,-36,223,2728,0.36322870,0.20179372,-0.16143498,0.02969208,0.01649560,-0.01319648,ok
10_water-simulator,Duplicated Setup,62,50,-12,223,2728,0.27802691,0.22421525,-0.05381166,0.02272727,0.01832845,-0.00439883,ok
10_water-simulator,Exceptions due to incomplete setup,11,2,-9,223,2728,0.04932735,0.00896861,-0.04035874,0.00403226,0.00073314,-0.00329912,ok
10_water-simulator,Exceptions due to null arguments,4,3,-1,223,2728,0.01793722,0.01345291,-0.00448430,0.00146628,0.00109971,-0.00036657,ok
10_water-simulator,Multiple calls to the same void method,7,21,14,223,2728,0.03139013,0.09417040,0.06278027,0.00256598,0.00769795,0.00513196,ok
10_water-simulator,Not asserted return values,8,7,-1,223,2728,0.03587444,0.03139013,-0.00448430,0.00293255,0.00256598,-0.00036657,ok
10_water-simulator,Not asserted side effects,43,30,-13,223,2728,0.19282511,0.13452915,-0.05829596,0.01576246,0.01099707,-0.00476540,ok
10_water-simulator,Not null assertion,0,15,15,223,2728,0.00000000,0.06726457,0.06726457,0.00000000,0.00549853,0.00549853,ok
10_water-simulator,Testing only field accesors,62,47,-15,223,2728,0.27802691,0.21076233,-0.06726457,0.02272727,0.01722874,-0.00549853,ok
10_water-simulator,Testing the same exception scenario,15,2,-13,223,2728,0.06726457,0.00896861,-0.05829596,0.00549853,0.00073314,-0.00476540,ok
11_imsmart,Asserting Constants,0,1,1,51,636,0.00000000,0.01960784,0.01960784,0.00000000,0.00157233,0.00157233,ok
11_imsmart,Asserting object initialization multiple times,12,15,3,51,636,0.23529412,0.29411765,0.05882353,0.01886792,0.02358491,0.00471698,ok
11_imsmart,Duplicated Setup,0,2,2,51,636,0.00000000,0.03921569,0.03921569,0.00000000,0.00314465,0.00314465,ok
11_imsmart,Exceptions due to incomplete setup,2,0,-2,51,636,0.03921569,0.00000000,-0.03921569,0.00314465,0.00000000,-0.00314465,ok
11_imsmart,Exceptions due to null arguments,1,0,-1,51,636,0.01960784,0.00000000,-0.01960784,0.00157233,0.00000000,-0.00157233,ok
11_imsmart,Multiple calls to the same void method,2,2,0,51,636,0.03921569,0.03921569,0.00000000,0.00314465,0.00314465,0.00000000,ok
11_imsmart,Not asserted return values,0,3,3,51,636,0.00000000,0.05882353,0.05882353,0.00000000,0.00471698,0.00471698,ok
11_imsmart,Not asserted side effects,10,6,-4,51,636,0.19607843,0.11764706,-0.07843137,0.01572327,0.00943396,-0.00628931,ok
11_imsmart,Not null assertion,0,6,6,51,636,0.00000000,0.11764706,0.11764706,0.00000000,0.00943396,0.00943396,ok
11_imsmart,Testing only field accesors,1,1,0,51,636,0.01960784,0.01960784,0.00000000,0.00157233,0.00157233,0.00000000,ok
